"","Family","Genus","Species","sci_name","nutrient_data","ctmax_estimate","gl_fish","SpecCode","SpeciesRefNo","FBname","Fresh","Brack","Saltwater","LongevityWild","Vulnerability","Length","LTypeMaxM","CommonLength","LTypeComM","Weight","Importance","DietTroph","DietSeTroph","DietRemark","FoodTroph","FoodSeTroph","FoodRemark","TLinfinity_mean","K_mean","TLinfinity_sd","K_sd"
"199","Schilbeidae","Ailia","coila","Ailia coila","Y",NA,NA,13334,4833,"Gangetic ailia",1,1,0,NA,22.29,30,"TL",18,"TL",NA,"commercial",NA,NA,NA,NA,NA,NA,18.9,0.68,NA,NA
"200","Belonidae","Xenentodon","cancila","Xenentodon cancila","Y",NA,NA,10124,4833,"Freshwater garfish",1,1,0,NA,30,40,"TL",30,"TL",NA,"minor commercial",NA,NA,NA,3.86,0.62,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"201","Cyprinidae","Gibelion","catla","Gibelion catla","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Merlucciidae","Merluccius","gayi","Merluccius gayi","Y",NA,NA,324,1371,"South Pacific hake",0,0,1,NA,61.02,87,"TL",50,"TL",NA,"highly commercial",4.26,0.64,"Troph of juv./adults from 1 study.",NA,NA,NA,75.8166666666667,0.276833333333333,24.5748177341495,0.155610303857639
"203","Lophiidae","Lophius","piscatorius","Lophius piscatorius","Y",NA,NA,716,4712,"Angler",0,0,1,24,63.84,200,"SL",100,"SL",57700,"highly commercial",4.45,0.105,"Troph of juv./adults from 163 studies.",4.55,0.65,"Trophic level estimated from a number of food items using a randomized resampling routine.",142.758822941176,0.131813529411765,30.5606153750697,0.0864663293529031
"204","Carcharhinidae","Prionace","glauca","Prionace glauca","Y",NA,NA,898,244,"Blue shark",0,1,1,20,72.61,400,"TL",335,"TL",205930,"minor commercial",4.35,0.187,"Troph of juv./adults from 4 studies.",4.37,0.83,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.156924137931034,NA,0.0910061130410339
"205","Gadidae","Micromesistius","poutassou","Micromesistius poutassou","Y",NA,NA,31,1371,"Blue whiting",0,0,1,20,31.8,55.5,"TL",22,"TL",830,"highly commercial",4.13,0.301,"Troph of adults from 3 studies.",3.93,0.82,"Trophic level estimated from a number of food items using a randomized resampling routine.",37.2009259259259,0.32,5.87586524512921,0.191687847213199
"206","Scyliorhinidae","Galeus","melastomus","Galeus melastomus","Y",NA,NA,807,244,"Blackmouth catshark",0,0,1,NA,35.05,75,"TL",50,"TL",1370,"minor commercial",4.17,0.25,"Troph of adults from 3 studies.",3.48,0.74,"Trophic level estimated from a number of food items using a randomized resampling routine.",67.2,0.428,NA,NA
"207","Scophthalmidae","Lepidorhombus","boscii","Lepidorhombus boscii","Y",NA,NA,27,6501,"Four-spot megrim",0,0,1,NA,47.78,40,"SL",20,"TL",NA,"minor commercial",3.74,0.347,"Troph of adults from 2 studies.",3.56,0.71,"Trophic level estimated from a number of food items using a randomized resampling routine.",38.1279090909091,0.189535636363636,6.70585176259906,0.0542318670416968
"208","Scombridae","Euthynnus","alletteratus","Euthynnus alletteratus","Y",NA,NA,97,168,"Little tunny",0,1,1,10,40.63,122,"TL",80,"TL",16500,"commercial",4.49,NA,"Troph of adults from 1 study.",3.98,0.6,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.26325,NA,0.165866956390422
"209","Engraulidae","Setipinna","taty","Setipinna taty","Y",NA,NA,611,9822,"Scaly hairfin anchovy",0,1,1,NA,32.29,15.3000001907349,"TL",NA,NA,NA,"minor commercial",3.6,0.58,"Troph of adults and juv./adults from 1 study.",3.46,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",20.5,0.332,NA,NA
"210","Sillaginidae","Sillaginodes","punctatus","Sillaginodes punctatus","Y",NA,NA,8489,6205,"King George whiting",0,1,1,15,50.07,72,"TL",35,"TL",4800,"commercial",3.28,0.3,"Troph of juv./adults from 1 study.",3.3,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.523649166666667,NA,0.285680788944531
"211","Triakidae","Mustelus","antarcticus","Mustelus antarcticus","Y",NA,NA,5943,244,"Gummy shark",0,0,1,16,74.4,157,"TL",NA,NA,30800,"commercial",NA,NA,NA,4.45,0.59,"Trophic level estimated from a number of food items using a randomized resampling routine.",182.44999875,0.146375,51.813511215016,0.0911246203205886
"212","Scorpaenidae","Sebastes","norvegicus","Sebastes norvegicus","Y",NA,NA,501,83993,"Golden redfish",0,0,1,60,70.98,100,"TL",45,"TL",15000,"highly commercial",NA,NA,NA,4.04,0.68,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.092852,NA,0.0244680372264366
"213","Anarhichadidae","Anarhichas","lupus","Anarhichas lupus","Y",NA,NA,2501,4694,"Atlantic wolffish",0,0,1,NA,69.18,150,"TL",NA,NA,23580,"highly commercial",3.55,NA,"Troph of adults from 1 study.",3.73,0.53,"Trophic level estimated from a number of food items using a randomized resampling routine.",135.416666666667,0.0956966666666667,28.2673250709484,0.0412889339492638
"214","Scombridae","Scomber","japonicus","Scomber japonicus","Y","Y",NA,117,168,"Chub mackerel",0,0,1,18,30.73,64,"TL",30,"FL",2900,"highly commercial",3.38,0.104,"Troph of juv./adults from 5 studies.",3.42,0.46,"Trophic level estimated from a number of food items using a randomized resampling routine.",43.7041935483871,0.307159032258065,8.16980080303616,0.118904499616424
"215","Scophthalmidae","Scophthalmus","maximus","Scophthalmus maximus","Y",NA,NA,1348,3397,"Turbot",0,1,1,25.2000007629395,59.94,100,"SL",50,"TL",25000,"commercial",4.36,0.044,"Troph of juv./adults from 293 studies.",3.96000003814697,0.63,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.2754653125,NA,0.12118586146599
"216","Scombridae","Sarda","sarda","Sarda sarda","Y",NA,NA,115,168,"Atlantic bonito",0,1,1,5,32.68,91.4000015258789,"FL",50,"FL",11000,"highly commercial",4.5,NA,"Troph of adults from 1 study.",4.34,0.83,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.529142857142857,NA,0.2403183328398
"217","Eleotridae","Eleotris","fusca","Eleotris fusca","Y",NA,NA,8034,6802,"Dusky sleeper",1,1,1,NA,16,26,"TL",NA,NA,NA,"minor commercial",3.79,0.321,"Troph of juv./adults from 2 studies.",3.62,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"218","Carangidae","Seriolina","nigrofasciata","Seriolina nigrofasciata","Y",NA,NA,1962,7300,"Blackbanded trevally",0,1,1,NA,51,77.5,"TL",50,"TL",5200,"minor commercial",NA,NA,NA,4.23,0.57,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"219","Scombridae","Rastrelliger","brachysoma","Rastrelliger brachysoma","Y",NA,NA,109,168,"Short mackerel",0,1,1,2,18.02,34.5,"FL",20,"FL",NA,"highly commercial",NA,NA,NA,2.72,0.31,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,1.52920454545455,NA,0.884206347050792
"220","Macrouridae","Macrourus","berglax","Macrourus berglax","Y",NA,NA,331,1371,"Roughhead grenadier",0,0,1,25,74.77,110,"TL",NA,NA,NA,"commercial",NA,NA,NA,3.77,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.067,NA,0.0395979797464467
"221","Moridae","Mora","moro","Mora moro","Y",NA,NA,1734,1371,"Common mora",0,0,1,NA,68.93,80,"TL",45,"TL",NA,"minor commercial",NA,NA,NA,3.75,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",68.555,0.0894475,5.70594865031224,0.0274106565347616
"222","Somniosidae","Centroscymnus","coelolepis","Centroscymnus coelolepis","Y",NA,NA,662,247,"Portuguese dogfish",0,0,1,NA,72.6,121,"TL",92,"TL",10100,"minor commercial",4.48,0.134,"Troph of juv./adults from 4 studies.",4.26,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",128,0.007,NA,NA
"223","Etmopteridae","Centroscyllium","fabricii","Centroscyllium fabricii","Y",NA,NA,656,247,"Black dogfish",0,0,1,NA,64.2,107,"TL",84,"TL",NA,"subsistence fisheries",3.84,0.268,"Troph of juv./adults from 2 studies.",4.2,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"224","Centrophoridae","Centrophorus","squamosus","Centrophorus squamosus","Y",NA,NA,653,247,"Leafscale gulper shark",0,0,1,NA,85.5,164,"TL",NA,NA,NA,"minor commercial",4.47,0.311,"Troph of juv./adults from 2 studies.",4.4,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",145.891668333333,0.045955,25.1093676841934,0.0086059136644519
"225","Etmopteridae","Etmopterus","princeps","Etmopterus princeps","Y",NA,NA,683,247,"Great lanternshark",0,0,1,NA,57.6,94,"TL",NA,NA,NA,"of no interest",4.17,0.39,"Troph of juv./adults from 1 study.",NA,NA,NA,NA,NA,NA,NA
"226","Nototheniidae","Patagonotothen","ramsayi","Patagonotothen ramsayi","Y",NA,NA,10308,9068,"Longtail southern cod",0,0,1,NA,37.42,44,"TL",NA,NA,NA,"commercial",NA,NA,NA,3.66,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",37.9333333333333,0.273333333333333,5.67215420570821,0.0680685928555404
"227","Mullidae","Parupeneus","trifasciatus","Parupeneus trifasciatus","Y",NA,NA,5988,45589,"Doublebar goatfish",0,0,1,NA,25,35,"TL",27,"TL",656,"commercial",NA,NA,NA,3.54,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"228","Dytiscidae","Chelinus","undulates","Chelinus undulates","Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Lutjanidae","Lutjanus","bohar","Lutjanus bohar","Y",NA,NA,1417,55,"Two-spot red snapper",1,1,1,55,68.43,90,"TL",76,"SL",12500,"commercial",4.27,0.5,"Troph of juv./adults from 1 study.",3.61999988555908,0.5678,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.146634545454545,NA,0.0954572083567958
"230","Hemiramphidae","Hyporhamphus","dussumieri","Hyporhamphus dussumieri","Y","Y",NA,12895,10988,"Dussumier's halfbeak",0,0,1,NA,36.36,38,"SL",19,"SL",NA,"commercial",NA,NA,NA,3.45,0.48,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"231","Balistidae","Balistes","capriscus","Balistes capriscus","Y",NA,NA,7327,35505,"Grey triggerfish",0,0,1,15,46.03,66,"TL",44,"TL",6150,"commercial",4.06,0.2,"Troph of juv./adults from 1 study.",3.45,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.337884166666667,NA,0.177667363960483
"232","Pinguipedidae","Pseudopercis","semifasciata","Pseudopercis semifasciata","Y",NA,NA,50136,27569,"Argentinian sandperch",0,0,1,NA,60,100,"TL",48.5999984741211,"SL",10000,"commercial",NA,NA,NA,3.88,0.68,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"233","Centrolophidae","Seriolella","punctata","Seriolella punctata","Y",NA,NA,12922,5755,"Silver warehou",0,1,1,15,32.84,66,"TL",51,"FL",NA,"commercial",NA,NA,NA,3.53,0.41,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.366666666666667,NA,0.0404145188432738
"234","Stromateidae","Stromateus","brasiliensis","Stromateus brasiliensis","Y",NA,NA,12930,2806,"Southwest Atlantic butterfish",0,0,1,NA,35.84,38,"NG",NA,NA,NA,"of no interest",NA,NA,NA,3.25,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"235","Pleuronectidae","Reinhardtius","hippoglossoides","Reinhardtius hippoglossoides","Y",NA,NA,516,122998,"Greenland halibut",0,0,1,36,71.36,110,"TL",56,"FL",7000,"highly commercial",4.38,0.144,"Troph of juv./adults from 12 studies.",4.35,0.99,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.07997,NA,0.0284698577446393
"236","Nototheniidae","Trematomus","scotti","Trematomus scotti","Y",NA,NA,7061,5179,"Crowned rockcod",0,0,1,NA,59.79,24.7000007629395,"TL",NA,NA,124.599998474121,"of no interest",3.21,0.22,"Troph of juv./adults from 1 study.",3.24,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",13.7,0.13,2.26274169979695,0.0424264068711929
"237","Myctophidae","Electrona","antarctica","Electrona antarctica","Y",NA,NA,6984,5182,"Antarctic lanternfish",0,0,1,3.5,40.74,11.5,"SL",NA,NA,15,NA,3.21,0.35,"Troph of juv./adults from 1 study.",3.14,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",14.29,0.21,2.82842712474619,0.0565685424949238
"238","Myctophidae","Electrona","carlsbergi","Electrona carlsbergi","Y",NA,NA,6985,5182,"Electron subantarctic",0,0,1,5.5,24.17,11.1999998092651,"SL",NA,NA,12.1000003814697,"commercial",3.22,NA,"Troph of adults from 1 study.",3.24,0.41,"Trophic level estimated from a number of food items using a randomized resampling routine.",11.98,0.55,NA,NA
"239","Myctophidae","Gymnoscopelus","braueri","Gymnoscopelus braueri","Y",NA,NA,6989,5182,"Brauer’s lanternfish",0,0,1,NA,34.08,22,"SL",NA,NA,NA,"minor commercial",3.22,0.32,"Troph of juv./adults from 1 study.",3.29,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.29,NA,NA
"240","Myctophidae","Gymnoscopelus","nicholsi","Gymnoscopelus nicholsi","Y",NA,NA,6990,5182,"Nichol's lanternfish",0,0,1,NA,10,19.1000003814697,"TL",NA,NA,47.0999984741211,"minor commercial",3.39,0.33,"Troph of juv./adults from 1 study.",3.14,0.32,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"241","Clupeidae","Sardinops","sagax","Sardinops sagax","Y","Y",NA,1477,188,"South American pilchard",0,0,1,25,33.17,39.5,"SL",20,"SL",486,"highly commercial",2.84,0.125,"Troph of juv./adults from 3 studies.",2.61,0.29,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.477565641025641,NA,0.210877203706542
"242","Sparidae","Pagrus","pagrus","Pagrus pagrus","Y",NA,NA,1756,3688,"Red porgy",0,0,1,26,58.41,91,"TL",35,"SL",7720,"commercial",3.86,0.244,"Troph of adults from 2 studies.",3.55,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.182555769230769,NA,0.073206435245712
"243","Carangidae","Trachurus","lathami","Trachurus lathami","Y",NA,NA,369,7251,"Rough scad",0,0,1,NA,37.06,40,"TL",30,"TL",500,"commercial",3.99,0.22,"Troph of juv./adults from 1 study.",3.27,0.34,"Trophic level estimated from a number of food items using a randomized resampling routine.",30.125,0.235,7.73406964885456,0.0925562891794321
"244","Ariidae","Galeichthys","feliceps","Galeichthys feliceps","Y",NA,NA,288,85159,"White barbel",0,1,1,NA,42,55,"TL",35,"TL",NA,"commercial",3.75,0.194,"Troph of juv./adults from 5 studies.",3.5,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,NA
"245","Gadidae","Micromesistius","australis","Micromesistius australis","Y",NA,NA,320,1371,"Southern blue whiting",0,0,1,30,51.7,90,"TL",60,"TL",850,"highly commercial",NA,NA,NA,3.79,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.2405,NA,0.0724529403918749
"246","Narcinidae","Discopyge","tschudii","Discopyge tschudii","Y",NA,NA,8396,2806,"Apron ray",0,0,1,NA,41.52,53.7999992370605,"TL",42,"TL",NA,"of no interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,"Zearaja","chilensis","Zearaja chilensis","Y",NA,NA,51636,120403,"Yellownose skate",0,0,1,NA,90,152,"TL",NA,NA,NA,"commercial",4.46,0.62,"Troph of juv./adults from 1 study.",4.02,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",131.68,0.169501333333333,13.7223084896722,0.223191608932987
"248","Arhynchobatidae","Psammobatis","scobina","Psammobatis scobina","Y",NA,NA,54085,27314,"Raspthorn sand skate",0,0,1,NA,33.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Arhynchobatidae","Psammobatis","normani","Psammobatis normani","Y",NA,NA,54438,27314,"Shortfin sand skate",0,0,1,NA,43.2,58,"TL",NA,NA,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Arhynchobatidae","Bathyraja","brachyurops","Bathyraja brachyurops","Y",NA,NA,51184,27314,"Broadnose skate",0,0,1,NA,61.8,103,"TL",NA,NA,10650,"commercial",NA,NA,NA,4.09,0.59,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"251","Arhynchobatidae","Bathyraja","macloviana","Bathyraja macloviana","Y",NA,NA,52474,27314,"Patagonian skate",0,0,1,NA,65.74,NA,NA,NA,NA,NA,"commercial",NA,NA,NA,3.24,0.38,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"252","Arhynchobatidae","Bathyraja","scaphiops","Bathyraja scaphiops","Y",NA,NA,52472,27314,"Cuphead skate",0,0,1,NA,66.6,111,"TL",NA,NA,NA,"commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Callorhinchidae","Callorhinchus","callorynchus","Callorhinchus callorynchus","Y",NA,NA,8399,2806,"Plownose chimaera",0,0,1,NA,65.29,89.1999969482422,"SL",70,"TL",NA,"commercial",3.35,0.14,"Troph of juv./adults from 1 study.",3.45,0.45,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"254","Congridae","Bassanago","albescens","Bassanago albescens","Y",NA,NA,15663,27363,"Hairy conger",0,0,1,NA,60,100,"TL",NA,NA,NA,"of no interest",3.89,0.3,"Troph of juv./adults from 1 study.",NA,NA,NA,NA,NA,NA,NA
"255","Moridae","Salilota","australis","Salilota australis","Y",NA,NA,306,1371,"Tadpole codling",0,0,1,NA,40,50,"TL",NA,NA,NA,"minor commercial",4.41,0.343,"Troph of juv./adults from 3 studies.",4.18,0.68,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"256","Moridae","Notophycis","marginata","Notophycis marginata","Y",NA,NA,2008,1371,"Dwarf codling",0,0,1,NA,14,24,"TL",NA,NA,NA,NA,NA,NA,NA,3.1,0.3,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,NA
"257","Merlucciidae","Macruronus","magellanicus","Macruronus magellanicus","Y",NA,NA,329,1371,"Patagonian grenadier",0,0,1,19,41.2,115,"TL",80,"TL",5000,"highly commercial",NA,NA,NA,3.83,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",99.81,0.197,22.1013121782396,0.112234130281301
"258","Merlucciidae","Merluccius","australis","Merluccius australis","Y",NA,NA,322,1371,"Southern hake",0,0,1,30,56.23,155,"SL",80,"TL",NA,"highly commercial",NA,NA,NA,4.28,0.74,"Trophic level estimated from a number of food items using a randomized resampling routine.",107.199999333333,0.191984,17.9698449015488,0.0818576881632298
"259","Merlucciidae","Merluccius","hubbsi","Merluccius hubbsi","Y",NA,NA,325,1371,"Argentine hake",0,0,1,6,60.76,95,"TL",50,"TL",NA,"highly commercial",NA,NA,NA,3.99,0.61,"Trophic level estimated from a number of food items using a randomized resampling routine.",64.5004545454545,0.280884545454545,17.7335243894926,0.10935892385751
"260",NA,"Coelorinchus","fasciatus","Coelorinchus fasciatus","Y",NA,NA,7131,1371,"Banded whiptail",0,0,1,NA,40,50,"TL",NA,NA,NA,"minor commercial",3.86,0.221,"Troph of juv./adults from 2 studies.",3.55,0.44,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"261","Ophidiidae","Genypterus","blacodes","Genypterus blacodes","Y",NA,NA,482,34024,"Pink cusk-eel",0,0,1,46,84.11,200,"SL",100,"TL",25000,"highly commercial",NA,NA,NA,4.18,0.76,"Trophic level estimated from a number of food items using a randomized resampling routine.",143.761362727273,0.114685454545455,30.2383187930031,0.0330990294007653
"262","Scorpaenidae","Sebastes","oculatus","Sebastes oculatus","Y",NA,NA,12084,27363,"Patagonian redfish",0,0,1,NA,30.8,40.7999992370605,"TL",NA,NA,NA,"commercial",NA,NA,NA,3.1,0.3,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,NA
"263","Triglidae","Prionotus","nudigula","Prionotus nudigula","Y",NA,NA,14029,6077,"Red searobin",0,0,1,NA,55.25,38.0999984741211,"TL",NA,NA,NA,"commercial",NA,NA,NA,4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item",42.3,0.13,NA,NA
"264","Congiopodidae","Congiopodus","peruvianus","Congiopodus peruvianus","Y",NA,NA,8398,2806,"Horsefish",0,0,1,NA,23.12,27.1499996185303,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","Serranidae","Acanthistius","brasilianus","Acanthistius brasilianus","Y",NA,NA,351,7392,"Argentine seabass",0,1,1,NA,44,60,"TL",NA,NA,NA,"commercial",NA,NA,NA,4.01,0.71,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"266",NA,"Brama","brama","Brama brama","Y",NA,NA,391,4936,"Atlantic pomfret",0,0,1,9,60,100,"TL",40,"SL",6000,"commercial",NA,NA,NA,4.08,0.64,"Trophic level estimated from a number of food items using a randomized resampling routine.",70.5,0.084,NA,NA
"267","Serranidae","Epinephelus","fasciatus","Epinephelus fasciatus","Y",NA,NA,5348,5222,"Blacktip grouper",0,1,1,NA,54.05,52,"TL",22,"TL",2000,"commercial",3.72,0.42,"Troph of juv./adults from 1 study.",3.85,0.57,"Trophic level estimated from a number of food items using a randomized resampling routine.",70.92,0.2052,48.2935502940092,0.193031603630079
"268","Serranidae","Epinephelus","longispinis","Epinephelus longispinis","Y",NA,NA,7352,5222,"Longspine grouper",0,0,1,NA,42,55,"TL",NA,NA,2700,"commercial",NA,NA,NA,4.15,0.62,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"269","Scophthalmidae","Lepidorhombus","whiffiagonis","Lepidorhombus whiffiagonis","Y",NA,NA,28,6501,"Megrim",0,0,1,16,59.63,60,"TL",25,"TL",NA,"highly commercial",4.34,0.128,"Troph of juv./adults from 67 studies.",3.51,0.69,"Trophic level estimated from a number of food items using a randomized resampling routine.",52.1170754716981,0.175353018867925,17.7086112102049,0.0717088489761229
"270","Clupeidae","Sprattus","sprattus","Sprattus sprattus","Y",NA,NA,1357,188,"European sprat",0,1,1,6,24.52,16,"SL",12,"SL",NA,"highly commercial",NA,NA,NA,3.01,0.07,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.54137037037037,NA,0.228856546964073
"271","Clupeidae","Sprattus","sprattus","Sprattus sprattus","Y",NA,NA,1357,188,"European sprat",0,1,1,6,24.52,16,"SL",12,"SL",NA,"highly commercial",NA,NA,NA,NA,NA,NA,NA,0.54137037037037,NA,0.228856546964073
"272",NA,"Ponticola","ratan","Ponticola ratan","Y",NA,NA,25980,4696,"Ratan goby",0,1,0,NA,10,20,"TL",NA,NA,NA,NA,NA,NA,NA,4.01,0.66,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"273","Polyprionidae","Polyprion","americanus","Polyprion americanus","Y",NA,NA,349,5204,"Wreckfish",0,0,1,80,77.75,210,"TL",80,"TL",1e+05,"minor commercial",NA,NA,NA,4.14,0.64,"Trophic level estimated from a number of food items using a randomized resampling routine.",134.655555555556,0.0742022222222222,21.2390625447023,0.0307130761149782
"274","Zoarcidae","Iluocoetes","fimbriatus","Iluocoetes fimbriatus","Y",NA,NA,12894,90127,NA,0,1,1,NA,25.58,35.5800018310547,"TL",NA,NA,NA,"of no interest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","Bovichthyidae","Cottoperca","gobio","Cottoperca gobio","Y",NA,NA,51212,27363,"Channel bull blenny",0,0,1,NA,52,80,"TL",33.8899993896484,"SL",NA,"commercial",NA,NA,NA,4.26,0.73,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"276","Carangidae","Parona","signata","Parona signata","Y",NA,NA,386,4537,"Parona leatherjacket",0,0,1,NA,44,60,"TL",40,"TL",NA,"minor commercial",NA,NA,NA,3.4,0.45,"Tentative trophic level derived from 1 + troph of a single food item",NA,NA,NA,NA
"277","Cheilodactylidae","Nemadactylus","bergi","Nemadactylus bergi","Y",NA,NA,460,7392,"Castaneta",0,0,1,NA,38.17,39.4799995422363,"SL",25,"TL",450,"commercial",3.24,NA,"Troph of adults from 1 study.",3.45,0.41,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"278","Nototheniidae","Dissostichus","eleginoides","Dissostichus eleginoides","Y",NA,NA,467,5179,"Patagonian toothfish",0,0,1,31,80.89,215,"TL",70,"TL",9600,"commercial",4.49,0.78,"Troph of juv./adults.",4.41,0.67,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.0924375,NA,0.0325153123268759
"279","Psychrolutidae","Cottunculus","granulosus","Cottunculus granulosus","Y",NA,NA,51209,27363,"Fathead",0,0,1,NA,16.43,21.6599998474121,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Paralichthyidae","Paralichthys","patagonicus","Paralichthys patagonicus","Y",NA,NA,14127,36453,"Patagonian flounder",0,0,1,NA,51.43,48,"TL",40,"TL",NA,"commercial",NA,NA,NA,3.9,0.66,"Trophic level estimated from a number of food items using a randomized resampling routine.",62.5666666666667,0.333333333333333,18.6693152882834,0.136137185711081
"281","Achiropsettidae","Mancopsetta","maculata","Mancopsetta maculata","Y",NA,NA,7121,5000,"Antarctic armless flounder",0,0,1,NA,44.4,50,"SL",NA,NA,NA,"commercial",NA,NA,NA,3.66,0.54,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"282","Scyliorhinidae","Schroederichthys","bivius","Schroederichthys bivius","Y",NA,NA,838,244,"Narrowmouthed catshark",0,0,1,NA,48,70,"TL",NA,NA,NA,"of no interest",3.77,0.32,"Troph of juv./adults from 1 study.",3.89,0.59,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"283","Osmeridae","Mallotus","villosus","Mallotus villosus","Y",NA,NA,252,2850,"Capelin",1,1,1,10,27.37,20,"TL",15,"TL",52,"highly commercial",3.15,0.086,"Troph of juv./adults from 8 studies.",3.19,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",20.7,0.4606,4.1545156155682,0.132415255918644
"284","Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus","Y",NA,NA,3822,2850,"Pacific sand lance",0,1,1,11,35.3,30,"TL",17,"TL",100,"commercial",3.13,0.078,"Troph of juv./adults from 9 studies.",3.26,0.27,"Trophic level estimated from a number of food items using a randomized resampling routine.",21.49,0.3223325,7.90684513570362,0.137906063046554
"285","Ditrichaceae","Trichodon","trichodon","Trichodon trichodon","Y",NA,NA,3682,2850,"Pacific sandfish",0,0,1,NA,20.5,30.5,"TL",NA,NA,NA,"of no interest",3.95,0.29,"Troph of juv./adults from 3 studies.",3.6,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,NA,NA,NA
"286","Osmeridae","Osmerus","mordax","Osmerus mordax","Y","Y","Y",253,86838,"Rainbow smelt",1,1,1,7,38.09,35.5999984741211,"TL",NA,NA,NA,"commercial",3,NA,"Troph of adults from 1 study.",3.44,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,0.42748,NA,0.197444471856435
